Naam                                        Wijk       fol.
Bilderbeeck, Egbert van                      41        jESVv
Billot, Daniel                               44        4iOv
Billijn, Andries — makelaer                   4        '29
Bilstijn, Johannes — silversmit               6         54v
" , Volkert                             6        D&
Bilt, Jan Jacobsz van — Erven van            50        467
Binckes, Jacob — assistent van de Equipage  O        602
" , Heijke — onder equipage mr. van de admiraliteijt                       16        153
Binnegon, Joahnnes van                        6         54
Binninck, Hendk. — bode op Emden              8         69
Birot, wede. Tieter                          53        5O1v
Birt, Evert                                  41        389v
Bisschop, Baeffje — wede. Rutgert Aertsz     42        395v
" , Wede. Jan geb. Juffr. Barleus      47        436v
" , Catharina — Erven van              60        559v
" , mT. Paulus — advocaat              25        239v
Bistrate, Charlotte de la                    55        520
" , Louis âe la                        55        519v
Bitter, Leendert - drapeir                   58        545
Bladen, Coenraet van                          4         36
Blaaupot, Gerrit Claesz                                    30             294
Blaeuw, Pieter + huisvrouw                   M         566v
" , Willem                               11        107v
Blaeuweduff, Jacob — facotr                  51        479v
Blancke, Anna — wede. Guilliam Donmies        37        351v
Blancketeste, Wede. nendr.                    4         Z4v
Blanke, Eva van                              22        204v
Blankert, Leendert                            9         84v
Blas, Wede. Jahiel                           22        205
Blasius, Verardus — professor               O        590v
Blau, Willenm                                 51        470
Blauert, Cornelis — Erven van                18        169
Biaucroon, Wede. Jacob                       48        448
Blaupot, Gerrit — makelaer                   30        292v
" , Joannes                             55        499
" , Claes Gerritsz                      21        195 195v
Blauw, — Hendrick — schipper                   55        507
" , Wede. Hendr,                           3         25v
