Naam                                                Wijk       fol.
Ipes, Jelle                                         16         151v
Ipesz, wed. Isaac                                   12         110
Ipesz, Reijnier — Erven van                         30         293v
Isacx, Abram — goutevisvercoper                     48         hihv
Iseacxz, Gillis — linnewinckel                      17         160
Isacksz, Jecob                                      54         517v
Isacksz, Jaspar — bierdrager                        56         530
Isaackz, Michiel, viskooper                          6          L9
Isaags, Merritje                                    45         423
Isacksz, Pieter — smalschipper                      53         506
Isacksz, Pieter — schipper op Haarlem               55         519
Isackz, Roeloff — kranckebesoecker                  48         h47v
Isack, Salomon — hoogduijts                          J         582
Isbrants, Trijntge — wed. Jacob Symonz Haringh       9          85v
Isbrantz, Jeremias                                   2          15v
Israel Makeboer, Isak                                J        581
Jager, Agatha de                                     2          18v
Jaeger, Claes de                                    16         147
Jaager, Claas de — sijlemaker                       17         156v
Jacht, Harmen — priester                            26         248
Jacobsz, wed. Adriaen                               51         LBlv
Jacobs, wed., Aeltje                                 46         L32v
Jacobs, Aeltje — wed. Volckert Luijtjens          51       479v
Jacobs, Anna — wed., Jacob Hoogsaet                  32         311v
Jacobz, Annetge — wed. Albert Willemz Backer        10         100
Jacobsz, Annetje — wed.,                             11         103v
Jacobz, Arent — kannekooper                          e          17v
Jacobsz, Arent — kistemaker                         57         Sk41v
Jacobs, Barbertje — wed. Barent Fred:t               1           6
Jacobz, Bartelt — gswaertveeger                       1           4
Jacobsz, wed. Dirck — geb. Trijntje Jans            53         498
Jacobsz, Ditmer — backer                            h4         416v
Jacobz, Egbert — kind van                            2          17v
Jacobsz, Elias — briefbestelder                   26         243
Jacobsz, Elias — graijnwercker                      47         440
Jacobs, Elisebeth — wed. Cornelis Michielsz         31         300
Jacobs, Elsje + 2 dochters                          26         248v
